ID,Frame,x1,y1,x2,y2,Confidence
150.23003,0.09978104,192.7169,54.047882,0.27760053,0,34
1307.5654,7.6252785,1344.2297,109.18557,0.27387863,0,35
726.19946,8.336826,770.274,110.188416,0.26306644,0,36
1141.2411,942.0031,1242.4698,1079.4017,0.83491796,0,1
669.7575,639.2201,746.22595,841.2993,0.79979146,0,2
1141.6268,498.87753,1212.14,650.7225,0.7810684,0,3
1404.5464,703.46106,1518.5096,889.22943,0.7589796,0,4
35.9301,799.3057,142.33815,990.37225,0.8110346,0,5
257.93576,442.2745,328.5904,610.76245,0.7659532,0,6
1451.6073,323.6866,1518.8969,483.9625,0.7846118,0,7
1464.2439,478.8794,1545.5991,649.4152,0.78074664,0,8
755.92114,444.4455,823.40466,615.99536,0.6944417,0,9
925.4837,176.3258,983.85443,313.53598,0.7258003,0,10
1793.4159,149.4201,1852.1744,276.58594,0.6520218,0,11
205.27359,39.517113,267.19577,153.42958,0.73526466,0,12
93.82518,130.62013,145.88705,250.51654,0.7014952,0,13
709.84894,234.9153,764.54095,374.76025,0.6399321,0,14
1205.5988,124.16359,1254.1587,258.5844,0.5654555,0,15
568.87885,269.17227,628.9962,415.4772,0.6624814,0,16
1695.411,163.71931,1754.9939,290.8744,0.56187165,0,17
1165.1979,146.4352,1211.2201,282.32254,0.50241244,0,18
799.55475,76.83531,848.96796,202.80931,0.60541916,0,19
344.4918,494.57886,399.3696,641.77844,0.52702683,0,20
362.63345,14.190697,407.85464,136.57782,0.34714037,0,21
1724.5162,78.43506,1784.6656,182.3222,0.48496878,0,22
1674.6882,13.438488,1727.2908,138.64987,0.4388994,0,23
1615.3108,16.972647,1655.1311,126.79596,0.4284635,0,24
894.74896,88.196526,934.41455,206.8174,0.4122032,0,25
854.5701,69.6267,893.46796,193.7874,0.42974585,0,26
1583.2566,18.783188,1623.1963,121.44665,0.4023175,0,27
984.085,102.4222,1038.796,233.53166,0.49569675,0,28
392.55957,516.59766,459.31808,671.6347,0.45661303,0,29
570.23584,203.50859,619.5919,297.1064,0.4304658,0,30
1388.4497,49.41646,1426.1182,184.89633,0.35859233,0,31
1092.4476,47.627373,1131.4143,148.72801,0.28270197,0,32
1897.3495,100.9219,1919.2643,199.46243,0.2990243,0,33
156.54985,0.0,191.4769,45.970074,0.26891658,0,34
1310.4562,7.2004166,1344.6863,108.52499,0.2574819,0,35
726.464,9.055275,767.7292,105.53506,0.34725222,0,36
1852.2411,724.6003,1919.2024,843.2512,0.5967802,0,37
449.90506,507.45547,515.543,645.1451,0.3525812,0,38
